Data.Medicare.gov location affected,Downloadable Access file affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.medicare.gov/dataset/Readmissions-Complications-And-Deaths-Hospital/7xux-kdpw,HQI_HOSP_ReadmCompDeath,Readmissions Complications and Deaths—Hospital.csv,22-Jan-15,Footnotes added for applicable providers for READM_30_COPD measure
https://data.medicare.gov/dataset/Timely-And-Effective-Care-Hospital/yv7e-xc69,HQI_HOSP_TimelyEffectiveCare,Timely and effective care - Hospital.csv,22-Jan-15,"Added missing denominator countsfor applicable providers for CAC-1, CAC-2 and CAC-3 measures"
https://data.medicare.gov/Hospital-Compare/Medicare-Volume-Hospital/qqc4-6tc7,HQI_HOSP_MV,Medicare Volume - Hospital.csv,18-Dec-14,Data refreshed
https://data.medicare.gov/dataset/Medicare-Volume-National/kwd6-ji9j,HQI_NATIONAL_MV,Medicare Volume - National.csv,18-Dec-14,Data refreshed
https://data.medicare.gov/dataset/Medicare-Volume-State/fwj5-uxek,HQI_STATE_MV,Medicare Volume - State.csv,18-Dec-14,Data refreshed
https://data.medicare.gov/Hospital-Compare/Heart-Attack-Payment-Hospital/c7us-v4mf,HQI_HOSP_AMI_Payment,Heart Attack Payment - Hospital.csv,18-Dec-14,NEW AMI payment and value of care measures were added
https://data.medicare.gov/Hospital-Compare/Heart-Attack-Payment-National/ygty-mm5a,HQI_NATIONAL_AMI_Payment,Heart Attack Payment - National.csv,18-Dec-14,NEW AMI payment and value of care measures were added
https://data.medicare.gov/Hospital-Compare/Heart-Attack-Payment-State/98ix-2iqy,HQI_STATE_AMI_Payment,Heart Attack Payment - Statel.csv,18-Dec-14,NEW AMI payment and value of care measures were added
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-National/di9i-zzrc,HQI_NATIONAL_IMG_AVG,Outpatient Imaging Efficiency – National.csv,18-Dec-14,Data refreshed
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-State/if5v-4x48?,HQI_STATE_IMG_AVG,Outpatient Imaging Efficiency – State.csv,18-Dec-14,Data refreshed
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-Hospital/wkfw-kthe?,HQI_HOSP_IMG,Outpatient Imaging Efficiency - Hospital.csv,18-Dec-14,Data refreshed
https://data.medicare.gov/Hospital-Compare/Measure-Dates/4j6d-yzce,Measure_Dates,Measure Dates.csv,18-Dec-14,Measure dates added for all the NEW measures
https://data.medicare.gov/Hospital-Compare/HCAHPS-National/99ue-w85f,HQI_NATIONAL_HCAHPS,HCAHPS - National.csv,18-Dec-14,"NEW Care transition measure added.
Data refreshed for the rest of the measures."
https://data.medicare.gov/Hospital-Compare/HCAHPS-State/84jm-wiui,HQI_STATE_HCAHPS,HCAHPS  - State.csv,18-Dec-14,"NEW Care transition measure added.
Data refreshed for the rest of the measures."
https://data.medicare.gov/Hospital-Compare/HCAHPS-Hospital/dgck-syfz,HQI_HOSP_HCAHPS,HCAHPS - Hospital.csv ,18-Dec-14,"NEW Care transition measure added.
Data refreshed for the rest of the measures."
https://data.medicare.gov/Hospital-Compare/Outpatient-Procedures-Volume/xbz4-gvaz,HQI_OP_Procedure_Volume,Outpatient Procedures - Volume.csv,18-Dec-14,Data refreshed 
https://data.medicare.gov/dataset/Readmissions-Complications-And-Deaths-National/seeb-g2s2,HQI_NATIONAL_ReadmCompDeath,Readmissions Complications and Deaths—National.csv,18-Dec-14,"NEW Stroke and COPD (readmission and mortality) measures added.
Data refreshed for the rest of the measures."
https://data.medicare.gov/dataset/Readmissions-Complications-And-Deaths-State/r9qh-58xk,HQI_STATE_ReadmCompDeath,Readmissions Complications and Deaths—State.csv,18-Dec-14,"NEW Stroke and COPD (readmission and mortality) measures added.
Data refreshed for the rest of the measures."
https://data.medicare.gov/dataset/Readmissions-Complications-And-Deaths-Hospital/7xux-kdpw,HQI_HOSP_ReadmCompDeath,Readmissions Complications and Deaths—Hospital.csv,18-Dec-14,"NEW Stroke and COPD (readmission and mortality) measures added.
Data refreshed for the rest of the measures."
https://data.medicare.gov/dataset/Timely-And-Effective-Care-National/isrn-hqyy,HQI_NATIONAL_TimelyEffectiveCare,Timely and Effective Care - National.csv,18-Dec-14,"NEW Healthcare Provider Influenza Measure added.
Effective surgical care measure: Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery has been replaced with Heart surgery patients whose blood sugar (blood glucose) is kept under good control 18-24 hours after surgery.
IMM-1a measure removed (Patients assessed and given pneumonia vaccination) from the preventive care section.
PN-3b measure removed (Pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics) from the pneumonia care section.
NEW emergency department volume added to the timely emergency department care section.
Data refreshed for the rest of the measures."
