"Date","ECB balance sheet"
"6/25/2010","2.15"
"7/2/2010","2.05"
"7/9/2010","2.00"
"7/16/2010","1.99"
"7/23/2010","1.99"
"7/30/2010","2.00"
"8/6/2010","1.96"
"8/13/2010","1.95"
"8/20/2010","1.96"
"8/27/2010","1.96"
"9/3/2010","1.96"
"9/10/2010","1.97"
"9/17/2010","1.97"
"9/24/2010","1.97"
"10/1/2010","1.87"
"10/8/2010","1.87"
"10/15/2010","1.88"
"10/22/2010","1.88"
"10/29/2010","1.90"
"11/5/2010","1.89"
"11/12/2010","1.88"
"11/19/2010","1.89"
"11/26/2010","1.92"
"12/3/2010","1.92"
"12/10/2010","1.95"
"12/17/2010","1.95"
"12/24/2010","1.93"
"12/31/2010","2.00"
"1/7/2011","1.97"
"1/14/2011","1.96"
"1/21/2011","1.96"
"1/28/2011","1.97"
"2/4/2011","2.02"
"2/11/2011","1.96"
"2/18/2011","1.96"
"2/25/2011","1.95"
"3/4/2011","1.94"
"3/11/2011","1.95"
"3/18/2011","1.94"
"3/25/2011","1.93"
"4/1/2011","1.89"
"4/8/2011","1.87"
"4/15/2011","1.89"
"4/22/2011","1.89"
"4/29/2011","1.89"
"5/6/2011","1.90"
"5/13/2011","1.90"
"5/20/2011","1.90"
"5/27/2011","1.90"
"6/3/2011","1.90"
"6/10/2011","1.89"
"6/17/2011","1.91"
"6/24/2011","1.97"
"7/1/2011","1.94"
"7/8/2011","1.92"
"7/15/2011","1.96"
"7/22/2011","2.01"
"7/29/2011","2.00"
"8/5/2011","2.00"
"8/12/2011","2.07"
"8/19/2011","2.08"
"8/26/2011","2.07"
"9/2/2011","2.07"
"9/9/2011","2.09"
"9/16/2011","2.13"
"9/23/2011","2.18"
"9/30/2011","2.29"
"10/7/2011","2.30"
"10/14/2011","2.31"
"10/21/2011","2.31"
"10/28/2011","2.33"
"11/4/2011","2.33"
"11/11/2011","2.34"
"11/18/2011","2.39"
"11/25/2011","2.42"
"12/2/2011","2.44"
"12/9/2011","2.46"
"12/16/2011","2.49"
"12/23/2011","2.73"
"12/30/2011","2.74"
"1/6/2012","2.69"
"1/13/2012","2.68"
"1/20/2012","2.71"
"1/27/2012","2.68"
"2/3/2012","2.66"
"2/10/2012","2.66"
"2/17/2012","2.66"
"2/24/2012","2.69"
"3/2/2012","3.02"
"3/9/2012","3.01"
"3/16/2012","2.99"
"3/23/2012","2.98"
"3/30/2012","2.96"
"4/6/2012","2.97"
"4/13/2012","2.97"
"4/20/2012","2.97"
"4/27/2012","2.96"
"5/4/2012","2.96"
"5/11/2012","2.97"
"5/18/2012","2.98"
"5/25/2012","2.98"
"6/1/2012","3.00"
"6/8/2012","3.01"
"6/15/2012","3.03"
"6/22/2012","3.06"
"6/29/2012","3.10"
"7/6/2012","3.09"
"7/13/2012","3.10"
"7/20/2012","3.08"
"7/27/2012","3.09"
"8/3/2012","3.09"
"8/10/2012","3.09"
"8/17/2012","3.09"
"8/24/2012","3.08"
"8/31/2012","3.08"
"9/7/2012","3.07"
"9/14/2012","3.06"
"9/21/2012","3.05"
"9/28/2012","3.08"
"10/5/2012","3.06"
"10/12/2012","3.05"
"10/19/2012","3.05"
"10/26/2012","3.05"
"11/2/2012","3.04"
"11/9/2012","3.04"
"11/16/2012","3.04"
"11/23/2012","3.04"
"11/30/2012","3.03"
"12/7/2012","3.03"
"12/14/2012","3.02"
"12/21/2012","3.01"
"12/28/2012","3.02"
"1/4/2013","2.96"
"1/11/2013","2.95"
"1/18/2013","2.94"
"1/25/2013","2.93"
"2/1/2013","2.77"
"2/8/2013","2.77"
"2/15/2013","2.76"
"2/22/2013","2.75"
"3/1/2013","2.68"
"3/8/2013","2.67"
"3/15/2013","2.65"
"3/22/2013","2.64"
"3/29/2013","2.65"
"4/5/2013","2.65"
"4/12/2013","2.63"
"4/19/2013","2.62"
"4/26/2013","2.61"
"5/3/2013","2.61"
"5/10/2013","2.61"
"5/17/2013","2.58"
"5/24/2013","2.56"
"5/31/2013","2.55"
"6/7/2013","2.55"
"6/14/2013","2.55"
"6/21/2013","2.55"
"6/28/2013","2.43"
"7/5/2013","2.42"
"7/12/2013","2.40"
"7/19/2013","2.40"
"7/26/2013","2.40"
"8/2/2013","2.39"
"8/9/2013","2.38"
"8/16/2013","2.37"
"8/23/2013","2.36"
"8/30/2013","2.36"
"9/6/2013","2.36"
"9/13/2013","2.35"
"9/20/2013","2.35"
"9/27/2013","2.34"
"10/4/2013","2.35"
"10/11/2013","2.34"
"10/18/2013","2.33"
"10/25/2013","2.32"
"11/1/2013","2.31"
"11/8/2013","2.31"
"11/15/2013","2.30"
"11/22/2013","2.29"
"11/29/2013","2.29"
"12/6/2013","2.28"
"12/13/2013","2.28"
"12/20/2013","2.29"
"12/27/2013","2.29"
"1/3/2014","2.28"
"1/10/2014","2.22"
"1/17/2014","2.20"
"1/24/2014","2.22"
"1/31/2014","2.22"
"2/7/2014","2.19"
"2/14/2014","2.19"
"2/21/2014","2.18"
"2/28/2014","2.18"
"3/7/2014","2.17"
"3/14/2014","2.17"
"3/21/2014","2.17"
"3/28/2014","2.15"
"4/4/2014","2.16"
"4/11/2014","2.17"
"4/18/2014","2.17"
"4/25/2014","2.17"
"5/2/2014","2.22"
"5/9/2014","2.17"
"5/16/2014","2.19"
"5/23/2014","2.16"
"5/30/2014","2.20"
"6/6/2014","2.17"
"6/13/2014","2.12"
"6/20/2014","2.08"
"6/27/2014","2.09"
"7/4/2014","2.07"
"7/11/2014","2.06"
"7/18/2014","2.06"
"7/25/2014","2.04"
"8/1/2014","2.06"
"8/8/2014","2.03"
"8/15/2014","2.02"
