"Investor","Unicorns"
"Sequoia Capital","10"
"SV Angel","9"
"First Round Capital","8"
"Accel Partners","7"
"Benchmark Capital","7"
"Khosla Ventures","7"
"Y Combinator","6"
"Andreessen Horowitz","5"
"Draper Fisher Jurvetson","5"
"Founders Fund","5"
"Union Square Ventures","5"
"Bessemer Venture Partners","4"
"Felicis Ventures","4"
"General Catalyst Partners","4"
"IDG Capital Partners","4"
"Index Ventures","4"
"Baseline Ventures","3"
"Greylock Partners","3"
"Hummer Winblad Venture Partners","3"
"Insight Venture Partners","3"
"Lightspeed Venture Partners","3"
"Mayfield Fund","3"
"Millennium Technology Value Partners","3"
"QED Investors","3"
"Ronald Conway","3"
"Thrive Capital","3"
"A-Grade Investments","2"
"Amidzad Partners","2"
"Battery Ventures","2"
"Benjamin Ling","2"
"Blumberg Capital","2"
"Canaan Partners","2"
"David Cohen","2"
"David Tisch","2"
"Esther Dyson","2"
"Foundation Capital","2"
"GGV Capital","2"
"GSV Ventures","2"
"Harbor Pacific Capital","2"
"Innovation Endeavors","2"
"Jeff Fluhr","2"
"Jeremy Stoppelman","2"
"K9 Ventures","2"
"Kevin Hartz","2"
"Kleiner Perkins Caufield & Byers","2"
"Lowercase Capital","2"
"Matrix Partners","2"
"Menlo Ventures","2"
"Meritech Capital Partners","2"
"Mitchell Kapor","2"
"Morningside Group","2"
"Norwest Venture Partners","2"
"Pelion Venture Partners","2"
"Saints Capital","2"
"SoftTech VC","2"
"Tiger Global Management","2"
"Transmedia Capital","2"
"VantagePoint Capital Partners","2"
"Venrock","2"
