Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Payment,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date,Location
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,642,$21423.00,20362,22606,,07/01/2010,06/30/2013,"1108 ROSS CLARK CIRCLE
DOTHAN, AL 36301
(31.21537937900007, -85.36146587999997)"
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,40,$20614.00,17854,23776,,07/01/2010,06/30/2013,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
(34.221334555000055, -86.15937514699993)"
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,290,$20297.00,18894,21837,,07/01/2010,06/30/2013,"205 MARENGO STREET
FLORENCE, AL 35631
(34.795039605000056, -87.68507485399994)"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"702 N MAIN ST
OPP, AL 36467
(31.292159523000066, -86.25539902199995)"
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"101 HOSPITAL CIRCLE
LUVERNE, AL 36049
(31.693116349000036, -86.26549482999997)"
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,234,$21477.00,19815,23264,,07/01/2010,06/30/2013,"50 MEDICAL PARK EAST DRIVE
BIRMINGHAM, AL 35235
(33.59526551700003, -86.66531866799994)"
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,107,$19101.00,17234,21243,,07/01/2010,06/30/2013,"200 MED CENTER DRIVE
FORT PAYNE, AL 35968
(34.44060759100006, -85.75726760699996)"
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,210,$20919.00,19284,22792,,07/01/2010,06/30/2013,"1000 FIRST STREET NORTH
ALABASTER, AL 35007
(33.25442932200008, -86.81407933399998)"
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Payment for heart attack patients,PAYM_30_AMI,Not Available,Not Available,,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2010,06/30/2013,"1720 UNIVERSITY BLVD
BIRMINGHAM, AL 35233
(33.503140150000036, -86.80242858299994)"
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,45,$20553.00,17890,23519,,07/01/2010,06/30/2013,"1300 SOUTH MONTGOMERY AVENUE
SHEFFIELD, AL 35660
(34.74643089500006, -87.69893502799994)"
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"126 HOSPITAL AVE
OZARK, AL 36360
(31.451350713000068, -85.63094293699999)"
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"400 NORTHWOOD DR
CENTRE, AL 35960
(34.16275020900002, -85.64348979299996)"
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,283,$20589.00,19071,22173,,07/01/2010,06/30/2013,"2105 EAST SOUTH BOULEVARD
MONTGOMERY, AL 36116
(32.32718605800005, -86.27659061099996)"
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,243,$22804.00,21048,24695,,07/01/2010,06/30/2013,"1725 PINE STREET
MONTGOMERY, AL 36106
(32.36658118200006, -86.28577143999996)"
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,263,$21642.00,19971,23267,,07/01/2010,06/30/2013,"2000 PEPPERELL PARKWAY
OPELIKA, AL 36801
(32.63808805900004, -85.40445272799997)"
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"209 NORTH MAIN STREET
WEDOWEE, AL 36278
(33.31155057800004, -85.48497697399995)"
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,242,$21149.00,19548,22870,,07/01/2010,06/30/2013,"619 SOUTH 19TH STREET
BIRMINGHAM, AL 35233
(33.50902324400005, -86.79972854499994)"
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"805 FRIENDSHIP ROAD
TALLASSEE, AL 36078
(32.534927776000075, -85.90985375199995)"
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,95,$20483.00,18325,22850,,07/01/2010,06/30/2013,"1912 ALABAMA HIGHWAY 157
CULLMAN, AL 35058
(34.19859606700004, -86.80404845899994)"
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"849 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
(31.297978657000044, -86.49481434799998)"
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,60,$21248.00,18761,24320,,07/01/2010,06/30/2013,"301 EAST 18TH ST
ANNISTON, AL 36201
(33.667678057000046, -85.83426678999996)"
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,1035,$20804.00,19945,21680,,07/01/2010,06/30/2013,"101 SIVLEY RD
HUNTSVILLE, AL 35801
(34.72108061800003, -86.58128515799996)"
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,204,$22175.00,20414,24056,,07/01/2010,06/30/2013,"1007 GOODYEAR AVENUE
GADSDEN, AL 35903
(34.00938024200008, -85.96778839099994)"
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"1256 MILITARY STREET SOUTH
HAMILTON, AL 35570
(34.12668982400004, -87.98987352799998)"
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"1653 TEMPLE AVENUE NORTH
FAYETTE, AL 35555
(33.70769618400004, -87.82377536299998)"
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,97,$23098.00,20507,25904,,07/01/2010,06/30/2013,"600 SOUTH THIRD STREET
GADSDEN, AL 35901
(34.00337850600005, -86.00409109099996)"
010047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,BUTLER,3343762205,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2010,06/30/2013,"515 N MIRANDA AVENUE
GEORGIANA, AL 36033
(31.636361081000075, -86.74277274699995)"
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,25,$21675.00,18362,25381,,07/01/2010,06/30/2013,"400 N EDWARDS STREET
ENTERPRISE, AL 36330
(31.318719619000035, -85.85572776899994)"
