"Date","Ireland residential property price index"
"1/31/2006","11.5"
"2/28/2006","11.85"
"3/31/2006","12.12"
"4/28/2006","12.83"
"5/31/2006","14.2"
"6/30/2006","15.34"
"7/31/2006","15.99"
"8/31/2006","16.31"
"9/29/2006","16.38"
"10/31/2006","15.29"
"11/30/2006","14.33"
"12/29/2006","13.86"
"1/31/2007","14.54"
"2/28/2007","14.79"
"3/30/2007","14.55"
"4/30/2007","13.39"
"5/31/2007","11.17"
"6/29/2007","9.12"
"7/31/2007","7.05"
"8/31/2007","5.3"
"9/28/2007","4.04"
"10/31/2007","2.98"
"11/30/2007","2.9"
"12/31/2007","1.46"
"1/31/2008","-0.04"
"2/29/2008","-1.81"
"3/31/2008","-2.8"
"4/30/2008","-3.79"
"5/30/2008","-4.56"
"6/30/2008","-5.48"
"7/31/2008","-6.17"
"8/29/2008","-7.08"
"9/30/2008","-8.22"
"10/31/2008","-9.77"
"11/28/2008","-11.31"
"12/31/2008","-12.59"
"1/30/2009","-13.75"
"2/27/2009","-15.2"
"3/31/2009","-16.81"
"4/30/2009","-18.04"
"5/29/2009","-19.08"
"6/30/2009","-19.83"
"7/31/2009","-20.62"
"8/31/2009","-21.04"
"9/30/2009","-20.7"
"10/30/2009","-20.01"
"11/30/2009","-19.06"
"12/31/2009","-18.81"
"1/29/2010","-17.92"
"2/26/2010","-17.18"
"3/31/2010","-15.28"
"4/30/2010","-13.98"
"5/31/2010","-13.19"
"6/30/2010","-12.63"
"7/30/2010","-12.24"
"8/31/2010","-11.05"
"9/30/2010","-11.34"
"10/29/2010","-11.36"
"11/30/2010","-11.74"
"12/31/2010","-10.74"
"1/31/2011","-10.94"
"2/28/2011","-11.01"
"3/31/2011","-12.16"
"4/29/2011","-12.47"
"5/31/2011","-12.39"
"6/30/2011","-13.12"
"7/29/2011","-12.71"
"8/31/2011","-14.1"
"9/30/2011","-14.48"
"10/31/2011","-15.36"
"11/30/2011","-15.87"
"12/30/2011","-16.91"
"1/31/2012","-17.58"
"2/29/2012","-18.01"
"3/30/2012","-16.55"
"4/30/2012","-16.59"
"5/31/2012","-15.49"
"6/29/2012","-14.63"
"7/31/2012","-13.81"
"8/31/2012","-12.01"
"9/28/2012","-9.86"
"10/31/2012","-8.39"
"11/30/2012","-5.96"
"12/31/2012","-4.76"
"1/31/2013","-3.51"
"2/28/2013","-2.83"
"3/29/2013","-3.29"
"4/30/2013","-1.49"
"5/31/2013","-1.33"
"6/28/2013","0.96"
"7/31/2013","2.04"
"8/30/2013","2.48"
"9/30/2013","3.37"
"10/31/2013","5.83"
"11/29/2013","5.31"
"12/31/2013","6.1"
"1/31/2014","5.98"
"2/28/2014","7.78"
"3/31/2014","7.51"
"4/30/2014","8.22"
"5/30/2014","10.35"
"6/30/2014","12.2"
"7/31/2014","13.1"
"8/29/2014","14.62"
"9/30/2014","14.65"
"10/31/2014","15.97"
"11/28/2014","15.88"
"12/31/2014","15.97"
"1/30/2015","15.23"
"2/27/2015","14.63"
"3/31/2015","16.47"
"4/30/2015","15.52"
