"Date","Italy industrial orders "
"6/30/2010","1.11"
"7/30/2010","-1.79"
"8/31/2010","2.64"
"9/30/2010","2.77"
"10/29/2010","-0.87"
"11/30/2010","-3.2"
"12/31/2010","7.21"
"1/31/2011","0.37"
"2/28/2011","0.19"
"3/31/2011","1.49"
"4/29/2011","-3.94"
"5/31/2011","0.86"
"6/30/2011","-0.38"
"7/29/2011","-1.14"
"8/31/2011","1.44"
"9/30/2011","-5.2"
"10/31/2011","0"
"11/30/2011","-0.2"
"12/30/2011","1.1"
"1/31/2012","-5.34"
"2/29/2012","0.63"
"3/30/2012","3.95"
"4/30/2012","-4.1"
"5/31/2012","0.73"
"6/29/2012","-2.07"
"7/31/2012","3.48"
"8/31/2012","1.12"
"9/28/2012","-4.84"
"10/31/2012","0.85"
"11/30/2012","-2.42"
"12/31/2012","0"
"1/31/2013","-0.43"
"2/28/2013","-0.54"
"3/29/2013","0.76"
"4/30/2013","-0.54"
"5/31/2013","3.69"
"6/28/2013","-1.88"
"7/31/2013","0.32"
"8/30/2013","1.91"
"9/30/2013","1.98"
"10/31/2013","-2.76"
"11/29/2013","3.05"
"12/31/2013","-5.11"
"1/31/2014","4.84"
"2/28/2014","-3.49"
"3/31/2014","2.23"
"4/30/2014","0.83"
"5/30/2014","-0.1"
"6/30/2014","-1.55"
"7/31/2014","-0.94"
"8/29/2014","1.91"
"9/30/2014","-1.56"
"10/31/2014","0.21"
"11/28/2014","-0.84"
"12/31/2014","4.57"
"1/30/2015","-3.35"
"2/27/2015","0.95"
"3/31/2015","-0.21"
"4/30/2015","5.43"
