Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
nn,00388609,9,09/14/2012 10:10:19 AM,1.7,8.2,29,Northern California,"(36.9447, -117.6778)"
nn,00388607,9,09/14/2012 10:06:11 AM,1.7,6.4,29,Central California,"(36.9417, -117.6903)"
pr,12258012,0,09/14/2012 09:28:55 AM,3.1,20,6,north of the Virgin Islands,"(19.7859, -64.0849)"
hv,60397836,2,09/14/2012 09:23:32 AM,1.8,6,17,"Island of Hawaii, Hawaii","(19.3373, -155.137)"
hv,60397821,1,09/14/2012 08:30:14 AM,2.3,30.8,36,"Island of Hawaii, Hawaii","(19.846, -155.5577)"
nc,71842325,1,09/14/2012 08:17:42 AM,1.6,2.1,29,Northern California,"(38.8375, -122.773)"
nc,71842320,1,09/14/2012 08:11:42 AM,2.3,27.8,13,Northern California,"(40.4365, -124.1643)"
ak,10559746,1,09/14/2012 08:05:26 AM,2.4,3.2,30,Southern Alaska,"(60.2482, -141.911)"
pr,12258011,0,09/14/2012 07:58:39 AM,3.3,74,4,Virgin Islands region,"(19.5907, -64.1723)"
nc,71842310,0,09/14/2012 07:58:30 AM,1,8.5,17,Central California,"(37.47, -118.845)"
nc,71842300,0,09/14/2012 07:30:34 AM,1.9,2.6,10,Northern California,"(40.7522, -122.3142)"
ci,15215689,0,09/14/2012 07:28:15 AM,1.3,3.4,39,Southern California,"(33.3927, -116.3497)"
ci,15215681,0,09/14/2012 06:59:19 AM,2.3,6.9,108,Southern California,"(33.3842, -116.3673)"
nc,71842280,0,09/14/2012 06:51:59 AM,1.4,8.6,19,"Long Valley area, California","(37.637, -118.9262)"
ci,15215665,0,09/14/2012 06:44:50 AM,1.6,10.3,13,Southern California,"(33.9588, -116.3477)"
ci,15215657,0,09/14/2012 06:40:26 AM,1.5,4.4,53,Southern California,"(33.2142, -116.078)"
ci,15215649,0,09/14/2012 06:35:15 AM,1.6,3.4,14,Southern California,"(33.3067, -115.5933)"
pr,12258010,0,09/14/2012 06:32:36 AM,3.1,70,6,Virgin Islands region,"(19.4752, -64.3468)"
nc,71842265,1,09/14/2012 06:25:38 AM,2.5,26,16,Northern California,"(40.4338, -124.1582)"
ci,15215641,0,09/14/2012 06:25:20 AM,2.1,2.1,26,"Baja California, Mexico","(32.5922, -115.7207)"
nc,71842260,3,09/14/2012 06:21:59 AM,3.3,25.8,15,Northern California,"(40.4405, -124.1653)"
nc,71842255,6,09/14/2012 06:19:51 AM,4,24.3,17,Northern California,"(40.434, -124.1538)"
ak,10559548,2,09/14/2012 05:50:15 AM,3.6,7.8,47,northern Alaska,"(65.6419, -143.2678)"
nc,71842235,0,09/14/2012 05:49:51 AM,1.1,1.5,19,Northern California,"(38.79, -122.7442)"
ak,10559546,2,09/14/2012 05:45:21 AM,1.2,47,13,Southern Alaska,"(61.9401, -150.3703)"
uu,09141731,2,09/14/2012 05:31:57 AM,1.6,7.1,8,Arizona,"(36.9687, -112.092)"
ak,10559335,2,09/14/2012 04:57:23 AM,2.3,97.8,40,Southern Alaska,"(59.4923, -153.1658)"
pr,12258009,0,09/14/2012 04:33:08 AM,3.2,7,3,Virgin Islands region,"(19.6098, -64.2926)"
us,c000cp1z,3,09/14/2012 04:14:58 AM,4.6,387,93,south of the Fiji Islands,"(-23.5123, -179.1089)"
hv,60386112,2,09/14/2012 03:46:38 AM,2.3,11.2,45,"Hawaii region, Hawaii","(18.9262, -155.0412)"
pr,12258008,0,09/14/2012 03:34:17 AM,3.2,84,4,Virgin Islands region,"(19.4055, -64.1552)"
nc,71842120,2,09/14/2012 02:46:29 AM,1.1,3,9,Northern California,"(40.3282, -121.3543)"
ak,10559300,1,09/14/2012 02:41:19 AM,1.3,5.1,8,Central Alaska,"(63.2661, -151.128)"
ak,10559293,1,09/14/2012 02:16:50 AM,1.2,20.5,11,Central Alaska,"(64.6962, -149.0148)"
ak,10559292,1,09/14/2012 02:14:54 AM,1,68.4,6,Southern Alaska,"(61.7072, -150.8691)"
nc,71842110,0,09/14/2012 02:13:08 AM,1.7,9.8,14,Central California,"(37.5235, -118.4317)"
ci,15215553,0,09/14/2012 02:05:47 AM,1.6,4.9,12,"Greater Los Angeles area, California","(33.7362, -117.6575)"
ci,15215545,0,09/14/2012 02:03:54 AM,1.1,7.5,48,Southern California,"(33.4848, -116.7623)"
ak,10559287,2,09/14/2012 01:58:31 AM,2.4,17.9,11,"Andreanof Islands, Aleutian Islands, Alaska","(51.1489, -176.5001)"
ak,10559285,2,09/14/2012 01:54:14 AM,2.2,11.8,6,"Fox Islands, Aleutian Islands, Alaska","(52.7707, -169.4689)"
ak,10559283,1,09/14/2012 01:43:34 AM,1.5,0,9,Southern Alaska,"(61.7147, -153.8917)"
ak,10559280,2,09/14/2012 01:32:23 AM,3.5,3.7,18,Alaska Peninsula,"(54.4282, -161.1602)"
ci,15215537,0,09/14/2012 01:25:25 AM,1.5,6.2,54,Southern California,"(33.2343, -116.0278)"
ci,15215505,2,09/14/2012 12:17:07 PM,1.5,9.4,71,Southern California,"(33.462, -116.439)"
ak,10559270,1,09/14/2012 12:16:25 PM,1.5,29.3,9,Southern Alaska,"(61.4248, -146.7484)"
ci,15215513,2,09/14/2012 12:15:30 PM,1.3,3.3,16,Southern California,"(35.5552, -116.92)"
ci,15215497,2,09/14/2012 12:08:22 PM,1.9,9.9,105,Southern California,"(33.4583, -116.4417)"
nc,71842080,3,09/14/2012 11:57:20 AM,3.2,25.4,16,Northern California,"(40.4393, -124.1653)"
nc,71842075,7,09/14/2012 11:53:17 AM,4.4,23.7,18,Northern California,"(40.4448, -124.1682)"
us,c000cnri,9,09/14/2012 11:50:15 AM,2.5,5,19,Texas Panhandle region,"(35.4959, -102.7528)"
ci,15215473,2,09/14/2012 11:42:01 AM,1.9,9.9,40,Southern California,"(32.6628, -115.9568)"
nc,71842070,1,09/14/2012 11:40:44 AM,2.4,3.3,36,Central California,"(36.6435, -121.255)"
ci,15215457,2,09/14/2012 11:27:15 AM,2.1,14.5,126,Southern California,"(33.3422, -116.3403)"
ci,15215465,2,09/14/2012 11:24:56 AM,1.7,16.6,17,Southern California,"(32.9348, -115.5023)"
pr,12258007,0,09/14/2012 11:23:23 AM,2.6,8,3,Virgin Islands region,"(19.5189, -64.9446)"
ak,10559256,1,09/14/2012 11:21:48 AM,1.7,0.1,20,Southern Alaska,"(61.52, -141.035)"
pr,12258006,0,09/14/2012 11:18:52 AM,3.3,71,3,Virgin Islands region,"(19.5447, -64.1007)"
ak,10559251,2,09/14/2012 10:25:33 AM,1.2,67.4,17,Southern Alaska,"(61.8612, -151.0807)"
ci,15215449,2,09/14/2012 10:24:56 AM,1,5.2,19,Central California,"(36.0068, -118.397)"
ak,10559246,1,09/14/2012 09:58:32 AM,1.6,0,9,Central Alaska,"(63.5612, -147.8337)"
ci,37090276,2,09/14/2012 09:45:12 AM,1.4,14,34,Southern California,"(33.1757, -116.4255)"
ci,15215441,2,09/14/2012 09:45:06 AM,1.6,14.5,78,Southern California,"(33.1742, -116.4237)"
ak,10559236,1,09/14/2012 09:11:05 AM,2.3,53.5,39,"Kenai Peninsula, Alaska","(60.9195, -151.2532)"
nc,71842035,0,09/14/2012 09:01:50 AM,1.2,2.4,14,Northern California,"(38.7568, -122.7137)"
nc,71842030,0,09/14/2012 09:01:22 AM,1,2.4,17,Northern California,"(38.7858, -122.7273)"
ak,10559225,1,09/14/2012 08:57:01 AM,2.4,107.8,47,Central Alaska,"(63.1076, -150.3907)"
uu,09140856,2,09/14/2012 08:56:35 AM,2.3,0.1,20,Utah,"(39.5883, -110.3835)"
ak,10559223,2,09/14/2012 08:42:54 AM,2.3,11.6,21,"Andreanof Islands, Aleutian Islands, Alaska","(51.587, -177.1226)"
nc,71842025,1,09/14/2012 08:37:26 AM,1.1,3.5,26,Northern California,"(38.82, -122.7935)"
ak,10559215,1,09/14/2012 08:07:52 AM,1.2,70,7,Southern Alaska,"(61.538, -150.9079)"
ak,10559211,1,09/14/2012 08:04:52 AM,1.9,0,13,northern Alaska,"(65.8806, -145.919)"
ci,15215417,2,09/14/2012 08:03:47 AM,1.4,5.1,26,Central California,"(36.0078, -118.3987)"
ci,15215409,2,09/14/2012 07:45:03 AM,1.6,4.8,41,Central California,"(36.0087, -118.398)"
ci,15215401,2,09/14/2012 07:40:17 AM,1.1,4.2,53,Southern California,"(34.2643, -116.7708)"
pr,12258005,0,09/14/2012 07:28:52 AM,3.3,44,8,Virgin Islands region,"(19.6952, -64.3367)"
ak,10559200,1,09/14/2012 07:23:33 AM,1,22.2,6,Central Alaska,"(63.507, -147.7544)"
us,c000cnmk,5,09/14/2012 07:18:38 AM,5.1,10,41,southern Mid-Atlantic Ridge,"(-39.689, -16.0382)"
us,c000cnmc,6,09/14/2012 06:56:17 AM,5.1,10,43,southern Mid-Atlantic Ridge,"(-39.6327, -16.0594)"
us,c000cnm9,B,09/14/2012 06:45:08 AM,4.5,165.6,118,"Hindu Kush region, Afghanistan","(36.3692, 69.7596)"
ci,15215393,2,09/14/2012 06:36:24 AM,1.2,1.9,22,Southern California,"(33.1275, -115.6265)"
us,a000f35u,5,09/14/2012 06:34:26 AM,4.3,63.8,83,"offshore Chiapas, Mexico","(14.8258, -93.2443)"
ak,10559187,2,09/14/2012 06:17:00 AM,1.8,126.9,17,Southern Alaska,"(59.8047, -153.4347)"
pr,12258004,0,09/14/2012 06:07:27 AM,3,28,4,Puerto Rico region,"(18.8745, -65.3312)"
