Sort,Dates,"Average Number of Operators, Mon-Fri, (7:00AM-3:00PM) ","Average Number of Operators, Mon-Fri, (3:00PM-11:00PM) ","Average Number of Operators, Mon-Fri, (11:00PM-7:00AM) ","Average Number of Operators, Sat-Sun, (7:00AM-3:00PM) ","Average Number of Operators, Sat-Sun, (3:00PM-11:00PM) ","Average Number of Operators, Sat-Sun, (11:00PM-7:00AM) ",Call Volume (7:00AM-3:00PM) ,Call Volume (3:00PM-11:00PM) ,Call Volume (11:00PM-7:00AM) ,Efficiency (7:00AM-3:00PM) ,Efficiency (3:00PM-11:00PM) ,Efficiency (11:00PM-7:00AM) ,Utilization (7:00AM-3:00PM) ,Utilization (3:00PM-11:00PM) ,Utilization (11:00PM-7:00AM) ,Abandoned (7:00AM-3:00PM) ,Abandoned (3:00PM-11:00PM) ,Abandoned (11:00PM-7:00AM) ,Average Wait Time (seconds): 7:00AM-3:00PM,Average Wait Time (seconds): 3:00PM-11:00PM,Average Wait Time (seconds): 11:00PM-7:00AM
1,4/10/11-4/16/11,2,25,8,2,16,7,3905,27090,18113,92%,89%,82%,43%,74%,69%,9%,11%,17%,14,53,67
2,4/17/11-4/23/11,2,24,7,1,15,7,3892,27021,16865,94%,89%,81%,41%,75%,71%,6%,12%,16%,8,12,72
3,4/24/11-4/30/11,2,25,10,2,15,8,3748,26995,18266,93%,92%,86%,43%,73%,69%,8%,9%,14%,10,41,51
4,5/1/11-5/7/11,2,22,10,2,15,9,4167,26105,18029,93%,86%,85%,44%,74%,66%,8%,12%,13%,11,63,51
5,5/8/11-5/14/11,2,22,9,2,12,9,4385,24762,18171,91%,77%,82%,50%,76%,71%,10%,17%,17%,13,105,69
6,5/15/11-5/21/11,2,24,9,1,14,8,4203,26465,18318,91%,76%,83%,50%,75%,75%,10%,16%,17%,16,103,74
7,5/22/11-5/28/11,1,22,10,2,13,7,4621,26869,19434,93%,67%,82%,51%,76%,72%,8%,18%,16%,13,130,78
8,5/30/11-6/5/11,23,7,2,15,9,2,26223,19814,5417,59%,66%,92%,71%,72%,53%,21%,19%,10%,144,127,17
9,6/06/11-6/12/11,22,9,2,14,7,1,39150,33462,6494,53%,54%,90%,76%,75%,58%,27%,28%,10%,173,166,25
10,6/13/11- 6/19/11,21,8,1,14,7,1,26368,18625,4851,57%,57%,89%,76%,75%,55%,22%,25%,12%,163,163,25
11,6/20/11 - 6/26/11,22,10,2,14,11,1,28803,22110,5407,57%,62%,88%,78%,76%,59%,21%,23%,12%,162,138,30
12,6/27/11 - 7/03/11,21,8,2,14,8,1,30466,22760,5528,55%,53%,87%,76%,75%,55%,24%,28%,13%,168,179,34
13,7/04/11 - 7/10/11,23,9,2,16,8,3,27755,21139,5621,58%,59%,90%,72%,75%,56%,23%,26%,11%,150,166,24
14,7/11/11 - 7/17/11,23,8,2,15,7,1,45418,25445,5530,54%,46%,89%,77%,77%,57%,48%,40%,11%,166,210,30
